Date,Active Calories,Resting Calories,Total
24/04/2022,7,2064,2071
25/04/2022,443,2064,2507
26/04/2022,129,2064,2193
27/04/2022,50,2064,2114
28/04/2022,141,2064,2205
29/04/2022,132,2064,2196
30/04/2022,137,2064,2201
01/05/2022,167,2064,2231
02/05/2022,145,2064,2209
03/05/2022,136,2064,2200
04/05/2022,158,2064,2222
05/05/2022,85,2064,2149
06/05/2022,70,2064,2134
07/05/2022,28,2064,2092
08/05/2022,169,2064,2233
09/05/2022,78,2064,2142
10/05/2022,414,2064,2478
11/05/2022,56,2064,2120
12/05/2022,170,2064,2234
13/05/2022,153,2064,2217
14/05/2022,44,2064,2108
15/05/2022,693,2064,2757
16/05/2022,8,2064,2072
17/05/2022,303,2064,2367
18/05/2022,265,2064,2329
19/05/2022,207,2064,2271
20/05/2022,163,2064,2227
21/05/2022,5,2064,2069
22/05/2022,244,2064,2308
23/05/2022,65,2064,2129
24/05/2022,168,2064,2232
25/05/2022,388,2064,2452
26/05/2022,272,2064,2336
27/05/2022,55,2064,2119
28/05/2022,542,2064,2606
29/05/2022,69,2064,2133
30/05/2022,358,2064,2422
31/05/2022,86,2064,2150
01/06/2022,173,2064,2237
02/06/2022,204,2064,2268
03/06/2022,101,2064,2165
04/06/2022,36,2064,2100
05/06/2022,468,2064,2532
06/06/2022,45,2086,2131
07/06/2022,170,2086,2256
08/06/2022,203,2086,2289
09/06/2022,157,2086,2243
10/06/2022,32,2086,2118
11/06/2022,332,2086,2418
12/06/2022,390,2086,2476
13/06/2022,55,2086,2141
14/06/2022,49,2086,2135
15/06/2022,148,2086,2234
16/06/2022,111,2086,2197
17/06/2022,421,2086,2507
18/06/2022,152,2086,2238
19/06/2022,248,2086,2334
20/06/2022,217,2086,2303
21/06/2022,137,2086,2223
22/06/2022,118,2086,2204
23/06/2022,65,2086,2151
24/06/2022,1300,2086,3386
25/06/2022,239,2086,2325
26/06/2022,258,2086,2344
27/06/2022,122,2086,2208
28/06/2022,739,2086,2825
29/06/2022,215,2086,2301
30/06/2022,44,2086,2130
01/07/2022,524,2086,2610
02/07/2022,257,2086,2343
03/07/2022,86,2086,2172
04/07/2022,485,2086,2571
05/07/2022,733,2086,2819
06/07/2022,315,2086,2401
07/07/2022,77,2086,2163
08/07/2022,420,2086,2506
09/07/2022,192,2086,2278
10/07/2022,296,2086,2382
11/07/2022,127,2086,2213
12/07/2022,3,2086,2089
13/07/2022,150,2086,2236
14/07/2022,39,2086,2125
15/07/2022,196,2086,2282
16/07/2022,58,2086,2144
17/07/2022,288,2086,2374
18/07/2022,70,2086,2156
19/07/2022,161,2086,2247
20/07/2022,175,2086,2261
21/07/2022,194,2086,2280
22/07/2022,150,2086,2236
23/07/2022,170,2086,2256
24/07/2022,215,2086,2301
25/07/2022,168,2086,2254
26/07/2022,167,2086,2253
27/07/2022,4,2086,2090
28/07/2022,378,2086,2464
29/07/2022,262,2086,2348
30/07/2022,78,2086,2164
31/07/2022,149,2086,2235
01/08/2022,448,2086,2534
02/08/2022,139,2086,2225
03/08/2022,227,2086,2313
04/08/2022,119,2086,2205
05/08/2022,542,2086,2628
06/08/2022,220,2086,2306
07/08/2022,209,2086,2295
08/08/2022,153,2086,2239
09/08/2022,38,2086,2124
10/08/2022,205,2086,2291
11/08/2022,146,2086,2232
12/08/2022,377,2086,2463
13/08/2022,69,2086,2155
14/08/2022,101,2086,2187
15/08/2022,133,2086,2219
16/08/2022,10,2086,2096
17/08/2022,6,2086,2092
18/08/2022,33,2086,2119
19/08/2022,67,2086,2153
20/08/2022,223,2086,2309
21/08/2022,104,2086,2190
22/08/2022,140,2086,2226
23/08/2022,259,2086,2345
24/08/2022,209,2086,2295
25/08/2022,27,2086,2113
26/08/2022,615,2086,2701
27/08/2022,681,2086,2767
28/08/2022,483,2086,2569
29/08/2022,54,2086,2140
30/08/2022,209,2086,2295
31/08/2022,691,2086,2777
01/09/2022,85,2086,2171
02/09/2022,213,2086,2299
03/09/2022,725,2086,2811
04/09/2022,127,2086,2213
05/09/2022,328,2086,2414
06/09/2022,83,2086,2169
07/09/2022,57,2086,2143
08/09/2022,134,2086,2220
09/09/2022,105,2086,2191
10/09/2022,400,2086,2486
11/09/2022,105,2086,2191
12/09/2022,183,2086,2269
13/09/2022,535,2086,2621
14/09/2022,287,2086,2373
15/09/2022,103,2086,2189
16/09/2022,259,2086,2345
17/09/2022,179,2086,2265
18/09/2022,123,2086,2209
19/09/2022,1,2086,2087
20/09/2022,479,2086,2565
21/09/2022,254,2086,2340
22/09/2022,807,2086,2893
23/09/2022,383,2086,2469
24/09/2022,165,2086,2251
25/09/2022,343,2086,2429
26/09/2022,518,2086,2604
27/09/2022,108,2086,2194
28/09/2022,265,2086,2351
29/09/2022,143,2086,2229
30/09/2022,581,2086,2667
01/10/2022,640,2086,2726
02/10/2022,513,2086,2599
03/10/2022,265,2086,2351
04/10/2022,530,2086,2616
05/10/2022,580,2086,2666
06/10/2022,44,1910,1954
09/10/2022,0,2086,2086
10/10/2022,394,2086,2480
11/10/2022,322,2086,2408
12/10/2022,462,2086,2548
13/10/2022,264,2086,2350
14/10/2022,243,2086,2329
15/10/2022,729,2086,2815
16/10/2022,159,2086,2245
17/10/2022,340,2086,2426
18/10/2022,254,2086,2340
19/10/2022,376,2086,2462
20/10/2022,243,2086,2329
21/10/2022,535,2086,2621
22/10/2022,445,2086,2531
23/10/2022,293,2086,2379
24/10/2022,256,2086,2342
25/10/2022,331,2086,2417
26/10/2022,302,2086,2388
27/10/2022,370,2086,2456
28/10/2022,582,2086,2668
29/10/2022,280,2086,2366
30/10/2022,282,2086,2368
31/10/2022,643,2086,2729
01/11/2022,283,2086,2369
02/11/2022,470,2086,2556
03/11/2022,272,2086,2358
04/11/2022,379,2086,2465
07/11/2022,847,2086,2933
08/11/2022,248,2086,2334
09/11/2022,195,2086,2281
10/11/2022,169,2086,2255
11/11/2022,314,2086,2400
12/11/2022,293,2086,2379
13/11/2022,203,2086,2289
14/11/2022,644,2086,2730
15/11/2022,560,2086,2646
16/11/2022,173,2086,2259
17/11/2022,212,2086,2298
18/11/2022,467,2086,2553
19/11/2022,298,1599,1897
20/11/2022,37,2086,2123
