Date,Actual,Goal
24/04/2022,260,7500
25/04/2022,10681,7500
26/04/2022,7069,7820
27/04/2022,4307,7750
28/04/2022,7014,7070
29/04/2022,5855,7060
30/04/2022,7051,6820
01/05/2022,8218,6850
02/05/2022,5747,7130
03/05/2022,4595,7000
04/05/2022,8372,6520
05/05/2022,4425,6710
06/05/2022,4137,6490
07/05/2022,2705,6020
08/05/2022,7824,5360
09/05/2022,5377,5610
10/05/2022,13746,5590
11/05/2022,4617,6410
12/05/2022,8568,6230
13/05/2022,8455,6470
14/05/2022,4184,6870
15/05/2022,9112,6610
16/05/2022,1688,6860
17/05/2022,11401,6350
18/05/2022,11682,6860
19/05/2022,10137,7830
20/05/2022,5615,8300
21/05/2022,1916,8040
22/05/2022,9412,6820
23/05/2022,4447,7080
24/05/2022,8056,6820
25/05/2022,11636,6950
26/05/2022,5776,7890
27/05/2022,4646,7680
28/05/2022,9868,7080
29/05/2022,3364,7360
30/05/2022,8671,6960
31/05/2022,3816,7140
01/06/2022,8613,6810
02/06/2022,9484,6990
03/06/2022,4720,7490
04/06/2022,2822,7220
05/06/2022,10028,6340
06/06/2022,3603,6710
07/06/2022,4625,6400
08/06/2022,6615,6050
09/06/2022,6851,6110
10/06/2022,3296,6260
11/06/2022,11617,5970
12/06/2022,4503,6540
13/06/2022,4226,6340
14/06/2022,4582,5920
15/06/2022,6213,5660
16/06/2022,6661,5720
17/06/2022,8122,5910
18/06/2022,7519,6360
19/06/2022,7959,6600
20/06/2022,3915,6880
21/06/2022,5825,6590
22/06/2022,6270,6440
23/06/2022,4725,6410
24/06/2022,14373,6080
25/06/2022,11101,6910
26/06/2022,8952,7750
27/06/2022,5768,7990
28/06/2022,12381,7770
29/06/2022,9543,8240
30/06/2022,5043,8500
01/07/2022,20188,8160
02/07/2022,10415,9370
03/07/2022,4977,9580
04/07/2022,15845,9120
05/07/2022,23198,9800
06/07/2022,13020,11800
07/07/2022,6040,12050
08/07/2022,14089,11450
09/07/2022,6667,11720
10/07/2022,8832,11220
11/07/2022,5592,10750
12/07/2022,1145,9720
13/07/2022,9166,8010
14/07/2022,5930,8130
15/07/2022,10723,7910
16/07/2022,4367,8200
17/07/2022,9660,7820
18/07/2022,4517,8010
19/07/2022,6196,7660
20/07/2022,8705,7370
21/07/2022,6331,7510
22/07/2022,6757,7400
23/07/2022,9877,7280
24/07/2022,5134,7540
25/07/2022,7532,7300
26/07/2022,6727,7330
27/07/2022,1403,7270
28/07/2022,11164,6100
29/07/2022,7430,6610
30/07/2022,4895,6780
31/07/2022,7821,6600
01/08/2022,11348,6730
02/08/2022,6325,7660
03/08/2022,10511,7530
04/08/2022,7769,7830
05/08/2022,11956,7830
06/08/2022,11628,8250
07/08/2022,6102,8930
08/08/2022,8160,8650
09/08/2022,3527,8560
10/08/2022,23869,7560
11/08/2022,8462,9190
12/08/2022,16790,9120
13/08/2022,4175,9890
14/08/2022,5100,9320
15/08/2022,5734,8480
16/08/2022,2006,7930
17/08/2022,1203,6750
18/08/2022,3121,5640
19/08/2022,6098,5140
20/08/2022,9506,5240
21/08/2022,7827,6100
22/08/2022,7729,6450
23/08/2022,10210,6710
24/08/2022,10437,7410
25/08/2022,2456,8020
26/08/2022,12316,7470
27/08/2022,20322,7960
28/08/2022,16301,9960
29/08/2022,3098,11230
30/08/2022,7812,10420
31/08/2022,15962,9900
01/09/2022,4765,10510
02/09/2022,9698,9940
03/09/2022,14358,9900
04/09/2022,6315,10350
05/09/2022,10772,9950
06/09/2022,5593,10040
07/09/2022,5914,9600
08/09/2022,6995,8870
09/09/2022,5072,8500
10/09/2022,9911,7820
11/09/2022,7867,8030
12/09/2022,10798,8020
13/09/2022,14444,8300
14/09/2022,14458,9530
15/09/2022,7241,10520
16/09/2022,10167,10200
17/09/2022,6443,10200
18/09/2022,9595,9450
19/09/2022,609,9470
20/09/2022,17133,9470
21/09/2022,11971,11010
22/09/2022,15372,11210
23/09/2022,16446,12050
24/09/2022,7013,12930
25/09/2022,12150,12340
26/09/2022,21326,12310
27/09/2022,3771,13220
28/09/2022,11815,12280
29/09/2022,8198,12190
30/09/2022,20246,11400
01/10/2022,18248,12290
02/10/2022,18654,13490
03/10/2022,11416,14530
04/10/2022,18440,14220
05/10/2022,10238,14650
06/10/2022,618,14210
09/10/2022,480,14210
10/10/2022,11940,14210
11/10/2022,11548,13760
12/10/2022,14738,13320
13/10/2022,8897,13470
14/10/2022,8948,13020
15/10/2022,18420,12210
16/10/2022,7161,12840
17/10/2022,9987,12280
18/10/2022,10291,11830
19/10/2022,9821,11530
20/10/2022,7727,11190
21/10/2022,17733,10500
22/10/2022,13054,11230
23/10/2022,9555,11600
24/10/2022,9771,11400
25/10/2022,11258,11080
26/10/2022,9126,11100
27/10/2022,12352,10910
28/10/2022,20273,11060
29/10/2022,9230,12910
30/10/2022,10115,12550
31/10/2022,15824,12070
01/11/2022,11860,12510
02/11/2022,14293,12450
03/11/2022,10018,12640
04/11/2022,13436,12380
07/11/2022,19564,12490
08/11/2022,10524,13910
09/11/2022,7817,13580
10/11/2022,7565,12430
11/11/2022,11245,11460
12/11/2022,9339,11420
13/11/2022,11319,11010
14/11/2022,15160,11040
15/11/2022,18724,11870
16/11/2022,7428,13240
17/11/2022,7778,12660
18/11/2022,14218,11690
19/11/2022,8005,11950
20/11/2022,1998,11950
21/11/2022,9324,10960
22/11/2022,13949,10640
23/11/2022,12403,10970
24/11/2022,12990,11260
25/11/2022,9009,11610
