Date,Stress
24/04/2022,10
25/04/2022,18
26/04/2022,20
27/04/2022,18
28/04/2022,23
29/04/2022,26
30/04/2022,27
01/05/2022,25
02/05/2022,19
03/05/2022,32
04/05/2022,21
05/05/2022,21
06/05/2022,22
07/05/2022,22
08/05/2022,26
09/05/2022,22
10/05/2022,30
11/05/2022,24
12/05/2022,18
13/05/2022,21
14/05/2022,17
15/05/2022,34
16/05/2022,20
17/05/2022,24
18/05/2022,25
19/05/2022,19
20/05/2022,22
21/05/2022,22
22/05/2022,22
23/05/2022,20
24/05/2022,22
25/05/2022,32
26/05/2022,25
27/05/2022,19
28/05/2022,26
29/05/2022,19
30/05/2022,21
31/05/2022,30
01/06/2022,18
02/06/2022,20
03/06/2022,20
04/06/2022,24
05/06/2022,19
06/06/2022,28
07/06/2022,19
08/06/2022,22
09/06/2022,25
10/06/2022,22
11/06/2022,19
12/06/2022,30
13/06/2022,20
14/06/2022,20
15/06/2022,24
16/06/2022,23
17/06/2022,25
18/06/2022,26
19/06/2022,31
20/06/2022,22
21/06/2022,22
22/06/2022,22
23/06/2022,17
24/06/2022,34
25/06/2022,23
26/06/2022,25
27/06/2022,25
28/06/2022,25
29/06/2022,22
30/06/2022,21
01/07/2022,28
02/07/2022,25
03/07/2022,29
04/07/2022,28
05/07/2022,25
06/07/2022,21
07/07/2022,21
08/07/2022,24
09/07/2022,30
10/07/2022,32
11/07/2022,20
12/07/2022,21
13/07/2022,21
14/07/2022,19
15/07/2022,24
16/07/2022,19
17/07/2022,35
18/07/2022,24
19/07/2022,28
20/07/2022,22
21/07/2022,23
22/07/2022,23
23/07/2022,23
24/07/2022,35
25/07/2022,23
26/07/2022,27
27/07/2022,21
28/07/2022,25
29/07/2022,28
30/07/2022,19
31/07/2022,26
01/08/2022,25
02/08/2022,18
03/08/2022,23
04/08/2022,24
05/08/2022,27
06/08/2022,23
07/08/2022,27
08/08/2022,19
09/08/2022,28
10/08/2022,19
11/08/2022,20
12/08/2022,18
13/08/2022,20
14/08/2022,22
15/08/2022,21
16/08/2022,23
17/08/2022,20
18/08/2022,23
19/08/2022,23
20/08/2022,22
21/08/2022,24
22/08/2022,22
23/08/2022,18
24/08/2022,16
25/08/2022,20
26/08/2022,44
27/08/2022,30
28/08/2022,35
29/08/2022,15
30/08/2022,23
31/08/2022,20
01/09/2022,26
02/09/2022,19
03/09/2022,36
04/09/2022,34
05/09/2022,25
06/09/2022,22
07/09/2022,22
08/09/2022,23
09/09/2022,19
10/09/2022,21
11/09/2022,25
12/09/2022,21
13/09/2022,30
14/09/2022,27
15/09/2022,26
16/09/2022,22
17/09/2022,20
18/09/2022,23
19/09/2022,25
20/09/2022,22
21/09/2022,25
22/09/2022,24
23/09/2022,19
24/09/2022,21
25/09/2022,18
26/09/2022,18
27/09/2022,23
28/09/2022,21
29/09/2022,18
30/09/2022,19
01/10/2022,33
02/10/2022,35
03/10/2022,31
04/10/2022,28
05/10/2022,59
06/10/2022,68
09/10/2022,16
10/10/2022,18
11/10/2022,20
12/10/2022,26
13/10/2022,26
14/10/2022,30
15/10/2022,39
16/10/2022,20
17/10/2022,21
18/10/2022,23
19/10/2022,20
20/10/2022,19
21/10/2022,28
22/10/2022,28
23/10/2022,22
24/10/2022,19
25/10/2022,20
26/10/2022,24
27/10/2022,27
28/10/2022,26
29/10/2022,29
30/10/2022,24
31/10/2022,29
01/11/2022,18
02/11/2022,22
03/11/2022,21
04/11/2022,19
07/11/2022,29
08/11/2022,22
09/11/2022,23
10/11/2022,17
11/11/2022,20
12/11/2022,31
13/11/2022,16
14/11/2022,24
15/11/2022,17
16/11/2022,21
17/11/2022,23
18/11/2022,21
19/11/2022,21
20/11/2022,28
21/11/2022,20
22/11/2022,26
23/11/2022,22
24/11/2022,22
25/11/2022,21
26/11/2022,33
27/11/2022,18
28/11/2022,22
29/11/2022,28
30/11/2022,26
01/12/2022,23
02/12/2022,27
03/12/2022,35
04/12/2022,38
05/12/2022,28
06/12/2022,21
07/12/2022,32
08/12/2022,25
09/12/2022,30
10/12/2022,26
11/12/2022,22
12/12/2022,19
